"","NAME","county_name","CBSA","FIPS","delta_1970_1980","delta_1980_1990","delta_1990_2000","delta_2000_2009","delta_2009_2013","delta_2013_2017"
"1","Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,0.0232993089030078,0.0276292559958774,0.0324397210039491,0.0232784811025293,0.00573824890453833,0.0145261603443623
"2","Boston-Cambridge-Newton, MA-NH",NA,14460,NA,0.000521672113413629,0.00483985400589937,0.00604152687664712,0.00305930294839839,0.00495420355077103,0.00894155531631879
"3","Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,0.00213546003182294,0.00159096594268995,0.010614343330643,0.00435277659566995,0.000703867615617249,0.00159515424319867
"4","Dallas-Fort Worth-Arlington, TX",NA,19100,NA,0.0222537151679269,0.0281027770957763,0.0258473896181542,0.019381599611788,0.0148787732616338,0.0193287899305319
"5","Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,0.0357216868047599,0.0178568135391288,0.0224093735622793,0.0190443863510678,0.0211969920364266,0.0225617320193172
"6","Los Angeles-Long Beach-Anaheim, CA",NA,31080,NA,0.0106818836958391,0.0180678870877607,0.00924462538849866,0.0035068079030817,0.00356180038290521,0.00603472149389628
"7","Miami-Fort Lauderdale-West Palm Beach, FL",NA,33100,NA,0.0498587612385089,0.0284033876917089,0.0860002458498462,0.0101140963622582,0.00844356296478566,0.0148254216417407
"8","New York-Newark-Jersey City, NY-NJ-PA",NA,35620,NA,-0.00371276003960261,0.00317958810352046,0.00842886998103403,0.00367382319645257,0.00172401450387039,0.00595336118532597
"9","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,-0.00146568374642477,0.00366166843683562,0.00452630909951317,0.00428193870856535,0.00345172759167101,0.00302191115392558
"10","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,0.00796361247001727,0.0193289795800506,0.0151510854850445,0.0119023375296408,0.0168292340516878,0.0139647791535591
"11",NA,"Alexandria city, VA",47900,51510,-0.00721379185384787,0.00743439242682999,0.0143061268462221,NA,NA,NA
"12",NA,"Arlington County, VA",47900,51013,-0.0132872586809103,0.0113475651691751,0.0102851755211292,NA,NA,NA
"13",NA,"Calvert County, MD",47900,24009,0.0515687588544068,0.0394141931643958,0.0372551128668579,NA,NA,NA
"14",NA,"Charles County, MD",47900,24017,0.0422572576093,0.032960145640012,0.0175387314762359,NA,NA,NA
"15",NA,"Clarke County, VA",47900,51043,0.0206968008884258,0.0194209140151159,0.00445272116274857,NA,NA,NA
"16",NA,"Culpeper County, VA",47900,51047,0.0216424354365357,0.0205877756585989,0.0209324641034302,NA,NA,NA
"17",NA,"District of Columbia, DC",47900,11001,-0.016985566115841,-0.0050496057911479,-0.00591218999281367,NA,NA,NA
"18",NA,"Fairfax city, VA",47900,51600,-0.0124920417141958,0.00118939164866383,0.00913085218096725,NA,NA,NA
"19",NA,"Fairfax County, VA",47900,51059,0.0271407698763651,0.0315824747805987,0.0169461256824251,NA,NA,NA
"20",NA,"Falls Church city, VA",47900,51610,-0.012408067420124,0.000659930117230445,0.00801230167027231,NA,NA,NA
"21",NA,"Fauquier County, VA",47900,51061,0.0308014250060646,0.0306089723158847,0.0123336704760776,NA,NA,NA
"22",NA,"Frederick County, MD",47900,24021,0.0301329731085413,0.0268899205182453,0.0262398063181811,NA,NA,NA
"23",NA,"Fredericksburg city, VA",47900,51630,0.00585952895361874,0.0216569318963634,0.0013157397559068,NA,NA,NA
"24",NA,"Jefferson County, WV",47900,54037,0.03534460524642,0.0170247550409,0.0160721958789605,NA,NA,NA
"25",NA,"Loudoun County, VA",47900,51107,0.0435550804841482,0.0405331596371994,0.0677590654736761,NA,NA,NA
"26",NA,"Manassas city, VA",47900,51683,NA,0.0593835612943964,0.0228530169172533,NA,NA,NA
"27",NA,"Manassas Park city, VA",47900,51685,NA,0.00316816359801138,0.0424003229107075,NA,NA,NA
"28",NA,"Montgomery County, MD",47900,24031,0.0102177813918651,0.026800490939168,0.0142927166766061,NA,NA,NA
"29",NA,"Prince George's County, MD",47900,24033,0.000679524475178894,0.00921474894626311,0.00944623954474331,NA,NA,NA
"30",NA,"Prince William County, VA",47900,51153,0.0264234667688891,0.0399140280355475,0.0263865321048211,NA,NA,NA
"31",NA,"Rappahannock County, VA",47900,51157,0.0158674271864779,0.00832568678586973,0.00530811847388435,NA,NA,NA
"32",NA,"Spotsylvania County, VA",47900,51177,0.0740329809280029,0.0511023077771464,0.0454092389365853,NA,NA,NA
"33",NA,"Stafford County, VA",47900,51179,0.0498343110915716,0.0414174292982061,0.041188943839666,NA,NA,NA
"34",NA,"Warren County, VA",47900,51187,0.032608299593829,0.0209542034685393,0.0189107446887713,NA,NA,NA
"35",NA,NA,NA,11001,NA,NA,NA,NA,0.0128103438723191,0.0205338924036611
"36",NA,NA,NA,24009,NA,NA,NA,NA,0.00359953677779501,0.00414095037600104
"37",NA,NA,NA,24017,NA,NA,NA,NA,0.0151808072397888,0.0115832349707907
"38",NA,NA,NA,24021,NA,NA,NA,NA,0.0135466778259645,0.00977498974518909
"39",NA,NA,NA,24031,NA,NA,NA,NA,0.0111872795234276,0.0122577629991754
"40",NA,NA,NA,24033,NA,NA,NA,NA,0.011267854880046,0.00890661266664239
"41",NA,NA,NA,51013,NA,NA,NA,NA,0.0100377623251999,0.0165149648137253
"42",NA,NA,NA,51043,NA,NA,NA,NA,-0.00294224061495996,0.00245426555588368
"43",NA,NA,NA,51047,NA,NA,NA,NA,0.0130486077204246,0.012692558366362
"44",NA,NA,NA,51059,NA,NA,NA,NA,0.020903237995205,0.00912531784078574
"45",NA,NA,NA,51061,NA,NA,NA,NA,-0.00119007365157531,0.00889463778711841
"46",NA,NA,NA,51107,NA,NA,NA,NA,0.0406661757563138,0.0343467904997086
"47",NA,NA,NA,51153,NA,NA,NA,NA,0.0359152804629339,0.019662990216319
"48",NA,NA,NA,51157,NA,NA,NA,NA,0.00947510626858206,-0.00300537150757618
"49",NA,NA,NA,51177,NA,NA,NA,NA,0.0119591553895027,0.0114764843001129
"50",NA,NA,NA,51179,NA,NA,NA,NA,0.02270295980873,0.0169891459707108
"51",NA,NA,NA,51187,NA,NA,NA,NA,0.0118320851677196,0.00751745497915923
"52",NA,NA,NA,51510,NA,NA,NA,NA,0.00271681906789301,0.0184839882302379
"53",NA,NA,NA,51600,NA,NA,NA,NA,-0.00368572931454691,0.00593286365843548
"54",NA,NA,NA,51610,NA,NA,NA,NA,0.0312960223550194,0.0209349314065221
"55",NA,NA,NA,51630,NA,NA,NA,NA,0.0375562200010648,0.0203937971774986
"56",NA,NA,NA,51683,NA,NA,NA,NA,0.0251159266382195,0.0127791276107856
"57",NA,NA,NA,51685,NA,NA,NA,NA,0.0656257792705688,0.0158814029059191
"58",NA,NA,NA,54037,NA,NA,NA,NA,0.0159219652869353,0.00702206376248249
