"entity.name","CBSA","statefips","countyfips","pop.tot_1970","pop.tot_1980","pop.tot_1990","pop.tot_2000","pop.tot_2009","pop.tot_2013","pop.tot_2017"
"Alexandria city, VA",47900,"51","510",110938,103217,111183,128283,142131,143684,154710
"Arlington County, VA",47900,"51","013",174284,152599,170936,189453,206405,214861,229534
"Atlanta-Sandy Springs-Roswell, GA",12060,NA,NA,1852235,2338211,3082308,4263438,5257114,5379176,5700990
"Boston-Cambridge-Newton, MA-NH",14460,NA,NA,3918092,3938585,4133895,4391344,4513934,4604278,4771936
"Calvert County, MD",47900,"24","009",20682,34638,51372,74563,88055,89332,90824
"Charles County, MD",47900,"24","017",47678,72751,101154,120546,140181,148957,156021
"Chicago-Naperville-Elgin, IL-IN-WI",16980,NA,NA,7882788,8052932,8182076,9098316,9461816,9488493,9549229
"Clarke County, VA",47900,"51","043",8102,9965,12101,12652,14359,14191,14331
"Culpeper County, VA",47900,"51","047",18218,22620,27791,34262,44923,47330,49795
"Dallas-Fort Worth-Arlington, TX",19100,NA,NA,2428838,3034207,4018778,5204126,6195890,6575833,7104415
"District of Columbia, DC",47900,"11","001",756510,638333,606900,572059,588433,619371,672391
"Fairfax city, VA",47900,"51","600",21970,19390,19622,21498,23369,23027,23580
"Fairfax County, VA",47900,"51","059",455021,596901,818584,969749,1012751,1101071,1142004
"Falls Church city, VA",47900,"51","610",10772,9515,9578,10377,11233,12731,13843
"Fauquier County, VA",47900,"51","061",26375,35889,48741,55139,66330,66015,68406
"Frederick County, MD",47900,"24","021",84927,114792,150208,195277,224185,236668,246105
"Fredericksburg city, VA",47900,"51","630",14450,15322,19027,19279,22314,25931,28135
"Houston-The Woodlands-Sugar Land, TX",26420,NA,NA,2195100,3137557,3750963,4693161,5570617,6063540,6636208
"Jefferson County, WV",47900,"54","037",21280,30302,35926,42190,50791,54131,55673
"Los Angeles-Long Beach-Anaheim, CA",31080,NA,NA,8456849,9410212,11273720,12365627,12762126,12945252,13261538
"Loudoun County, VA",47900,"51","107",37150,57427,86129,169599,277465,326477,374558
"Manassas city, VA",47900,"51","683",NA,15438,27957,35135,35559,39317,41379
"Manassas Park city, VA",47900,"51","685",NA,6524,6734,10290,11633,15125,16117
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,NA,NA,968822,1595063,2119006,5007564,5484777,5673185,6019790
"Montgomery County, MD",47900,"24","031",522809,579053,757027,873341,946172,989474,1039198
"New York-Newark-Jersey City, NY-NJ-PA",35620,NA,NA,17506245,16868198,17413155,18944519,19581379,19716880,20192042
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,NA,NA,5317407,5240039,5435468,5687147,5910593,5992766,6065644
"Prince George's County, MD",47900,"24","033",660567,665071,729268,801515,834986,873481,905161
"Prince William County, VA",47900,"51","153",111102,144703,215686,280813,360910,416668,450763
"Rappahannock County, VA",47900,"51","157",5199,6093,6622,6983,7171,7448,7359
"Spotsylvania County, VA",47900,"51","177",16424,34435,57403,90395,118512,124319,130159
"Stafford County, VA",47900,"51","179",24587,40470,61236,92446,120436,131885,141159
"Warren County, VA",47900,"51","187",15301,21200,26142,31584,36087,37836,38991
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,NA,NA,3164346,3426648,4157327,4837428,5384391,5759330,6090196
