"county_name_state_code","area_type","unit_type","total_housing_units"
"Rappahannock County, VA","Exurban","New",441
"Clarke County, VA","Exurban","New",1200
"Warren County, VA","Exurban","New",2603
"Culpeper County, VA","Exurban","New",4958
"independent cities of
Fredericksburg, Manassas & Manassas Park","Exurban","New",5047
"Jefferson County, WV","Exurban","New",5437
"Fauquier County, VA","Exurban","New",5553
"Calvert County, MD","Exurban","New",7246
"Spotsylvania County, VA","Exurban","New",13083
"Stafford County, VA","Exurban","New",14353
"Charles County, MD","Exurban","New",14486
"Frederick County, MD","Exurban","New",18662
"Prince William County, VA","Exurban","New",45877
"Loudoun County, VA","Exurban","New",52018
"Fairfax & Falls Church cities","Suburban","New",1767
"Prince George's County, MD","Suburban","New",39856
"Montgomery County, MD","Suburban","New",49384
"Fairfax County, VA","Suburban","New",52203
"Alexandria city, VA","Urban","New",8717
"Arlington County, VA","Urban","New",18182
"District of Columbia, DC","Urban","New",32015
