index,34003,34013,34017,34019,34021,34023,34025,34027,34029,34031,34035,34037,34039,34041,42025,42077,42089,42095,42103,09001,09005,09009,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36111,36119,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,pa,pa,pa,pa,ct,ct,ct,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000009,0000014,0000016,0000017,0000018,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000028,0000025,0000051,0000057,0000060,0000064,0000012,0000014,0000016,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000068,0000072,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,34,34,34,34,34,34,34,34,34,34,34,34,34,34,42,42,42,42,42,09,09,09,36,36,36,36,36,36,36,36,36,36,36,36,36,2007-2011
GEO_ID,05000US34003,05000US34013,05000US34017,05000US34019,05000US34021,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US34041,05000US42025,05000US42077,05000US42089,05000US42095,05000US42103,05000US09001,05000US09005,05000US09009,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36111,05000US36119,2007-2011
GEO_NAME,"Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Mercer County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Warren County, New Jersey","Carbon County, Pennsylvania","Lehigh County, Pennsylvania","Monroe County, Pennsylvania","Northampton County, Pennsylvania","Pike County, Pennsylvania","Fairfield County, Connecticut","Litchfield County, Connecticut","New Haven County, Connecticut","Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Ulster County, New York","Westchester County, New York",2007-2011
B01003_1_total,900730,781668,627589,128355,365318,804299,628920,491307,572991,498009,321304,149589,532378,108829,64974,347197,169050,296323,57242,911196,189719,858759,1374593,296842,2486119,1332947,1588257,371833,99662,2213977,466034,308682,1487177,182710,944249,2007-2011
B01001_1_total,900730,781668,627589,128355,365318,804299,628920,491307,572991,498009,321304,149589,532378,108829,64974,347197,169050,296323,57242,911196,189719,858759,1374593,296842,2486119,1332947,1588257,371833,99662,2213977,466034,308682,1487177,182710,944249,2007-2011
B01001_2_male,434097,374526,310374,64028,178424,395066,305902,240556,274487,241832,156667,74358,258116,52952,31986,168325,83692,144905,28610,442978,93211,413358,644641,147867,1171941,644672,746858,185910,49705,1071353,226036,151316,731503,90881,454185,2007-2011
B01001_3_under_5_years,25639,27645,21478,3264,11137,25456,17887,14317,19785,17813,10137,4212,18373,3220,1777,11110,4451,8255,1544,29382,4809,24926,52918,7926,90324,37622,40375,13661,2526,68376,14610,12078,44636,4536,29278,2007-2011
B01001_4_5_to_9_years,29338,26004,16975,4932,11493,26357,21050,17450,17891,16229,11824,5097,17607,3615,1880,11628,5485,9726,1617,31168,6137,25895,50085,8625,81831,43072,31087,13689,3265,61495,14457,12671,49621,4851,31431,2007-2011
B01001_5_10_to_14_years,29883,28630,17065,4362,12304,26039,23656,17643,19557,18418,11850,5587,19253,3992,2053,11798,6661,9027,2490,35023,6149,29471,51752,10621,79095,47902,30310,15644,4133,63680,16632,11974,55477,5798,34390,2007-2011
B01001_6_15_to_17_years,19501,17170,11542,3182,7681,16920,14893,11206,11381,11009,7600,3838,11753,2524,1324,7776,4594,6393,1435,20828,4308,18726,34258,7090,51824,31385,19867,9434,2456,42297,10367,7800,34985,3897,21790,2007-2011
B01001_7_18_and_19_years,10344,11003,8051,1639,6365,13331,8226,5900,6363,7859,3572,2122,6854,1403,680,4695,3007,5060,849,11411,2297,13134,24222,5368,34460,17460,17476,6668,1192,28499,6484,4454,21077,2859,12018,2007-2011
B01001_8_20_years,4592,6099,4990,745,3448,6254,3696,2473,3298,4348,1661,1221,3359,638,292,1604,1623,3417,256,5362,888,6585,13126,2767,19329,8860,10924,3633,444,16215,3465,2122,10104,1724,5264,2007-2011
B01001_9_21_years,4922,6281,4435,854,3248,6364,3586,2594,2377,3750,1755,654,3485,617,446,2220,1396,2188,405,5591,767,6403,11736,1993,19382,8293,9733,3174,665,15237,3500,1851,9369,1344,5413,2007-2011
B01001_10_22_to_24_years,14502,13869,15259,2104,7018,16122,10033,7194,9587,9766,4128,2045,9489,1662,1026,6415,2799,4730,636,14330,2843,15953,30270,6051,56195,23226,39643,6903,1617,48612,8847,5860,26407,3250,16186,2007-2011
B01001_11_25_to_29_years,24871,26151,34291,2653,12116,27079,16249,12777,15726,16835,8417,3356,16867,2600,1665,10380,4039,8095,1173,25720,4253,27181,49844,8447,105981,36123,84998,10069,2634,92200,15257,9017,41814,5314,26138,2007-2011
B01001_12_30_to_34_years,26382,26170,32152,2653,11758,28391,15814,13354,14688,16214,9370,3778,17200,2654,1768,10411,3818,7849,1261,26435,4367,25240,43967,8094,94335,34662,76285,10718,2406,86865,14410,8413,42308,5050,26975,2007-2011
B01001_13_35_to_39_years,30135,28657,27426,3408,12133,29535,19625,16141,15826,16983,11507,4878,18236,3622,2006,10750,5330,9766,1899,29245,5764,26843,41099,9683,84358,40439,64646,11350,3404,83002,15784,8557,48878,6220,30255,2007-2011
B01001_14_40_to_44_years,33708,28278,21797,5520,13998,30329,23637,20149,17939,17414,12742,5965,20560,4230,2357,12351,6153,10147,2006,35751,7420,29914,46279,11042,77600,46895,56560,15185,4167,80825,16687,10569,59471,6774,35320,2007-2011
B01001_15_45_to_49_years,36342,28554,21293,6354,13913,30635,27362,21701,19393,18147,14377,6974,20802,4776,2565,13091,7318,11458,2426,36945,8311,32461,43970,12937,76191,52772,52673,14825,4707,79979,17537,11088,62936,7837,36471,2007-2011
B01001_16_50_to_54_years,34167,25791,18914,6184,13061,28741,26086,19550,18456,16975,13208,6739,19199,4493,2752,12887,6885,11338,2383,34299,8416,31339,39002,12128,72442,51103,47667,13640,4334,74556,16781,10510,56241,7599,34260,2007-2011
B01001_17_55_to_59_years,29527,22506,15476,5127,10987,24269,20999,16130,16184,14304,10615,5634,15814,3356,2440,11340,5568,9642,1982,26947,7883,25974,31697,9996,64028,43584,43519,11190,3781,64030,14717,8748,45618,6316,28882,2007-2011
B01001_18_60_and_61_years,10646,7306,5688,1690,3742,8422,7451,5909,6774,5055,3397,1805,5324,1563,767,3792,2168,3866,833,9923,2525,9682,11160,3582,23587,16623,16039,4116,1226,22116,5242,3723,16609,2818,10443,2007-2011
B01001_19_62_to_64_years,13127,8677,7122,2006,5060,9745,10248,7598,9551,6260,4197,2735,6728,1668,1246,4864,2797,4641,1138,13421,3219,13225,14855,4215,28704,20449,19899,4776,1439,28747,7016,4615,21817,3032,13589,2007-2011
B01001_20_65_and_66_years,7669,5223,3881,1021,3026,5837,5073,4091,5864,3864,2489,1526,4008,779,731,2397,1588,2861,628,7323,2150,7101,8154,2428,14792,10511,12401,2768,764,15947,3907,2402,11894,1614,7463,2007-2011
B01001_21_67_to_69_years,9609,6889,5003,1499,3544,7185,6305,5067,7783,4069,3069,1355,4785,1176,956,3753,1744,3433,897,9014,2257,8681,10152,2943,20521,13507,15300,3530,1261,20988,4599,3311,15928,2156,9344,2007-2011
B01001_22_70_to_74_years,12858,8433,6603,1992,3951,9658,8567,6828,11771,6150,3656,2020,6046,1558,1130,5199,2637,3877,1151,11353,2856,11095,14152,4544,28824,19449,20805,3931,1297,27858,5885,4126,20197,2936,12911,2007-2011
B01001_23_75_to_79_years,11257,6315,4814,1334,3901,7657,6544,5758,10417,4382,2983,1113,4869,1189,837,4086,1475,3700,762,9444,2491,9425,9919,3398,21168,16177,16305,3020,1006,20887,4542,3287,16572,2159,10450,2007-2011
B01001_24_80_to_84_years,8128,4867,3784,980,2764,6082,5093,3938,7723,3473,2144,1038,3970,930,711,3387,1297,3062,535,7866,1492,7423,6313,2404,15323,13172,11182,2141,503,16525,3143,2346,11176,1511,8842,2007-2011
B01001_25_85_years_and_over,6950,4008,2335,525,1776,4658,3822,2788,6153,2515,1969,666,3535,687,577,2391,859,2374,304,6197,1609,6681,5711,1585,11647,11386,9164,1845,478,12417,2167,1794,8368,1286,7072,2007-2011
B01001_26_female,466633,407142,317215,64327,186894,409233,323018,250751,298504,256177,164637,75231,274262,55877,32988,178872,85358,151418,28632,468218,96508,445401,729952,148975,1314178,688275,841399,185923,49957,1142624,239998,157366,755674,91829,490064,2007-2011
B01001_27_under_5_years,24795,26388,20470,3035,10451,24981,17350,13608,18772,16786,9478,3910,17512,3052,1697,10432,4311,7909,1298,27809,4413,23880,50987,7564,86440,36055,38491,12918,2511,65222,13735,11429,42393,4486,28181,2007-2011
B01001_28_5_to_9_years,27736,26552,16092,4514,11336,25504,20957,16494,18141,16496,11255,4966,17966,3655,1646,10939,5170,8993,1936,31224,5276,24926,47417,8866,77539,41446,29525,13911,3276,58793,14793,11010,47678,5352,31027,2007-2011
B01001_29_10_to_14_years,28934,26349,16464,4538,11451,23745,21732,17100,17551,16738,11384,5358,17074,3626,2108,11263,6158,8953,1821,31718,6385,28146,50095,9787,77748,45124,30277,13862,3489,61089,14688,12377,52079,4895,31725,2007-2011
B01001_30_15_to_17_years,18173,16661,10660,2841,7452,15917,14303,10347,10786,10755,7088,3548,11146,2294,1151,7381,4218,6011,1484,19872,4029,17817,33081,6396,50520,29339,19474,8824,2344,39991,9778,7281,33005,3612,20168,2007-2011
B01001_31_18_and_19_years,9660,10228,7206,1200,6404,11636,7284,5198,5880,7554,3069,1777,6426,1366,648,4750,3039,4678,643,10714,1869,12980,22272,5387,33021,16332,21255,5027,1082,26277,6078,3943,18271,2916,11732,2007-2011
B01001_32_20_years,4395,5299,3866,485,3614,6210,3373,3166,3158,4398,1637,605,2761,555,436,2393,1373,2251,309,5044,830,6180,12504,2588,19060,8396,12163,2465,691,14699,3296,1873,8755,1350,5549,2007-2011
B01001_33_21_years,4747,5420,4139,495,3048,6096,3292,2596,2588,3359,1322,768,3321,552,334,2515,1295,1971,164,4652,855,6099,11802,3015,17408,8273,13002,2093,192,15161,2857,2000,9538,1359,4931,2007-2011
B01001_34_22_to_24_years,13719,15185,14629,1416,6497,15127,9369,5683,9051,9795,3843,2106,9431,1695,809,5805,2531,4799,687,14281,2524,16941,30654,4800,60741,20986,51543,6097,1307,47727,8902,5169,24006,3363,15120,2007-2011
B01001_35_25_to_29_years,25026,27564,33102,2405,11298,27928,15386,12218,15152,16813,8365,3223,16818,2607,1643,10662,3783,7968,1155,24994,4134,28129,55998,7419,115820,34183,100764,10055,2095,93036,14928,8411,39217,4787,25972,2007-2011
B01001_36_30_to_34_years,27512,27987,30141,2823,11618,28503,16393,13564,14361,16861,9977,3861,17850,2890,1699,10613,4396,8201,1465,27225,4583,26426,52259,7545,103162,35699,79704,10605,2518,87248,15273,8242,42323,4792,28018,2007-2011
B01001_37_35_to_39_years,31141,30306,24957,4418,13679,30178,20867,17593,16429,17445,11765,5052,19497,3778,2049,12008,5720,9852,1831,32221,6027,29214,49045,9468,91457,42569,62256,11980,3298,80617,16264,8986,50909,5830,32059,2007-2011
B01001_38_40_to_44_years,37247,30218,21937,5703,12890,29130,25839,20993,18570,18353,14273,6530,21060,4593,2488,11925,6655,10546,2292,37158,7558,31113,52767,11103,89068,52063,56607,15439,4535,84229,18020,11291,61149,6359,38284,2007-2011
B01001_39_45_to_49_years,38527,30761,21612,6596,14412,31308,29054,22399,20052,19090,15230,7227,21713,5006,2614,13728,7522,11727,2525,39774,8797,34195,52269,12629,88092,57145,51700,15076,4941,83876,18611,11662,64112,7488,39450,2007-2011
B01001_40_50_to_54_years,37003,28747,20153,6193,13743,29868,27119,20154,19571,17992,13688,6709,20293,4538,2733,13296,7034,11820,2380,35871,8598,33296,46617,11785,85933,54835,51291,13525,4311,81414,18168,10940,57402,7468,37079,2007-2011
B01001_41_55_to_59_years,30814,23868,17872,5302,11678,25199,22396,16958,18622,15279,9990,5655,17004,3719,2299,11778,5786,10524,2043,29079,7637,29397,39951,10136,76895,46847,50234,10718,4017,71571,16335,9985,48832,6933,32591,2007-2011
B01001_42_60_and_61_years,12344,9015,6700,1667,4372,8975,7897,5910,8117,6013,4048,1963,6134,1333,796,4338,1691,3572,682,10721,2815,10843,13661,3414,30518,18360,19687,4274,1168,27708,6520,3926,17658,2432,11988,2007-2011
B01001_43_62_to_64_years,15556,12333,8008,1925,5773,11532,10465,8596,11153,7176,5377,2533,8099,2042,1362,5190,3066,5001,1214,14557,3464,13682,19063,4738,36377,21892,27341,5938,1487,34281,7468,5074,24438,3425,14998,2007-2011
B01001_44_65_and_66_years,8929,6855,4881,1037,3060,6667,6072,4627,7049,4395,2718,1377,4793,1135,681,3170,1655,2881,625,8409,1897,7851,11013,2626,21752,12637,15733,2650,807,20673,4312,2982,14209,1834,9352,2007-2011
B01001_45_67_to_69_years,12108,8115,6216,1785,3763,8034,6892,6163,10278,5504,3358,1954,5735,1261,963,3768,1858,3823,815,10825,2551,9979,14630,3715,27280,16275,21598,3752,1478,25208,5164,3785,17927,2460,11734,2007-2011
B01001_46_70_to_74_years,15489,11563,9120,1753,5948,12466,10295,7651,14882,7392,4792,1775,7898,1620,1474,6435,2812,5089,1278,13892,3486,14400,20559,4775,38400,24231,26813,5333,1292,38017,7925,5118,25041,3031,16376,2007-2011
B01001_47_75_to_79_years,14418,10030,7139,1557,5173,10826,9474,7193,14259,6586,3897,1708,7340,1722,1188,5763,1947,5208,789,12447,3024,12357,15963,4272,31770,23442,21918,4089,1076,30860,6153,4615,21441,2668,14984,2007-2011
B01001_48_80_to_84_years,12984,8365,5796,1395,4366,9805,7757,5965,12159,5130,3611,1431,6623,1511,1168,5023,1703,5028,729,12334,2671,11357,13266,3415,27786,21089,19192,3656,1056,26638,5289,3076,17204,2424,13691,2007-2011
B01001_49_85_years_and_over,15376,9333,6055,1244,4868,9598,9452,6575,11923,6267,4472,1195,7768,1327,1002,5697,1635,4613,467,13397,3085,16193,14079,3532,27391,21057,20831,3636,986,28289,5441,4191,18087,2565,15055,2007-2011
B02001_1_total,900730,781668,627589,128355,365318,804299,628920,491307,572991,498009,321304,149589,532378,108829,64974,347197,169050,296323,57242,911196,189719,858759,1374593,296842,2486119,1332947,1588257,371833,99662,2213977,466034,308682,1487177,182710,944249,2007-2011
B02001_2_white_alone,666465,336459,350490,117293,232615,505622,524489,407688,522908,317264,230242,140127,313343,98778,62459,283176,133979,258374,51244,698200,178999,649832,309325,236257,1095610,978413,896499,287057,89343,942426,354417,227034,1226241,160525,638238,2007-2011
B02001_3_black_or_african_american_alone,50155,318209,83057,3442,73788,75523,46420,15478,17471,61221,27906,2811,113786,4003,808,20890,22297,14245,2976,97022,2263,105398,477156,28822,851970,146147,246752,36891,1973,422878,47609,37553,109654,10520,135392,2007-2011
B02001_4_american_indian_and_alaska_native_alone,1140,2108,2312,82,988,1541,1704,1040,464,1273,476,217,906,91,117,653,234,510,48,1207,453,1924,7119,540,7926,2133,5421,1034,23,8629,916,776,3650,447,1420,2007-2011
B02001_5_asian_alone,129848,36338,81785,4100,31938,169840,31769,43391,9757,25602,44242,2962,24457,2712,327,10216,3487,7151,463,41573,3006,30171,48745,10919,258100,101515,176594,9047,1874,512538,36237,20081,51104,3184,51108,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,67,245,256,33,49,307,34,74,97,80,36,0,348,0,0,61,67,65,73,138,17,433,368,40,1518,59,449,17,0,1574,0,325,130,15,146,2007-2011
B02001_7_some_other_race_alone,37131,63391,93024,1987,19339,34104,11730,15279,12791,80870,12251,1821,71433,1695,440,23922,4452,9374,1204,57964,2022,50069,486173,13477,228052,78866,203656,27470,4064,264187,18765,18801,70855,3170,92839,2007-2011
B02001_8_two_or_more_races,15924,24918,16665,1418,6601,17362,12774,8357,9503,11699,6151,1651,8105,1550,823,8279,4534,6604,1234,15092,2959,20932,45707,6787,42943,25814,58886,10317,2385,61745,8090,4112,25543,4849,25106,2007-2011
B02001_9_two_races_including_some_other_race,3904,5652,6285,246,1395,5091,2132,2555,2378,3380,1173,465,2683,541,100,1617,545,1195,197,3923,322,4760,27039,1048,13135,8556,15125,3144,829,24170,2145,1612,8174,704,7379,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",12020,19266,10380,1172,5206,12271,10642,5802,7125,8319,4978,1186,5422,1009,723,6662,3989,5409,1037,11169,2637,16172,18668,5739,29808,17258,43761,7173,1556,37575,5945,2500,17369,4145,17727,2007-2011
B11001_1_total,333073,276441,240526,47455,129933,278513,233120,179581,222863,161488,114348,55554,184584,41685,26136,133159,59941,112111,22207,332139,76477,330396,471923,107151,907785,443315,733393,124939,34998,773130,163747,98106,496677,70034,345908,2007-2011
B11001_2_family_households,237263,182483,147116,34380,87734,201144,162415,130451,151664,113864,83131,41347,129480,29597,18213,90426,44737,77576,16207,229222,52009,215884,310909,73232,581085,341008,301691,89815,26597,526275,122569,74982,376811,44923,238645,2007-2011
B11001_3_married-couple_family,188431,108207,90704,29691,63763,156076,129528,110243,122477,78125,69643,34754,90289,23181,14376,67561,34207,60969,12654,178916,42316,154992,127444,57554,343987,272662,190862,69459,22018,349290,91986,60460,296890,33771,180037,2007-2011
B11001_4_other_family,48832,74276,56412,4689,23971,45068,32887,20208,29187,35739,13488,6593,39191,6416,3837,22865,10530,16607,3553,50306,9693,60892,183465,15678,237098,68346,110829,20356,4579,176985,30583,14522,79921,11152,58608,2007-2011
"B11001_5_male_householder,_no_wife_present",12536,17844,15412,1185,6138,12671,9193,5562,8288,8930,3326,2016,10855,1681,1077,5963,2627,4470,1029,12453,2518,13412,35557,4739,52166,17343,23002,5628,1439,51999,7834,4098,22674,3186,13539,2007-2011
"B11001_6_female_householder,_no_husband_present",36296,56432,41000,3504,17833,32397,23694,14646,20899,26809,10162,4577,28336,4735,2760,16902,7903,12137,2524,37853,7175,47480,147908,10939,184932,51003,87827,14728,3140,124986,22749,10424,57247,7966,45069,2007-2011
B11001_7_nonfamily_households,95810,93958,93410,13075,42199,77369,70705,49130,71199,47624,31217,14207,55104,12088,7923,42733,15204,34535,6000,102917,24468,114512,161014,33919,326700,102307,431702,35124,8401,246855,41178,23124,119866,25111,107263,2007-2011
B11001_8_householder_living_alone,84037,81454,72258,11048,34900,63585,59697,41856,61979,41465,26450,11832,47859,10231,6372,35751,11938,28462,5115,86545,20596,94367,140673,27488,261946,88296,349859,28790,6989,201506,35836,19930,97679,19717,93219,2007-2011
B11001_9_householder_not_living_alone,11773,12504,21152,2027,7299,13784,11008,7274,9220,6159,4767,2375,7245,1857,1551,6982,3266,6073,885,16372,3872,20145,20341,6431,64754,14011,81843,6334,1412,45349,5342,3194,22187,5394,14044,2007-2011
B15002_1_total,629850,512885,434268,88749,242371,538240,428233,338338,396825,322936,219701,101775,356568,74363,46667,234473,110939,201962,39668,612787,135340,580697,847414,197998,1631202,909176,1173112,233830,68472,1540607,313545,194790,999776,127118,640046,2007-2011
B15002_2_male,295376,237825,210579,42946,115730,258223,202875,161779,184248,152640,104140,49582,167943,35281,22508,111079,53676,96109,19378,289883,65013,272265,376274,97426,739501,426852,547443,113104,33407,726942,147674,92506,479827,62622,298415,2007-2011
B15002_3_no_schooling_completed,2256,3016,3295,437,1378,2262,1263,937,1598,2320,654,255,2409,240,149,955,263,669,65,2538,566,2429,11243,618,18380,4256,9882,1491,180,14461,1815,1370,6064,673,2776,2007-2011
B15002_4_nursery_to_4th_grade,2089,4521,2955,233,985,1863,1077,711,542,2076,429,69,2905,80,57,544,149,501,44,2524,145,1954,9793,520,10520,3310,5442,837,75,10224,687,784,3134,220,2960,2007-2011
B15002_5_5th_and_6th_grade,3589,6885,6914,164,2258,3977,2645,1319,1791,3933,942,200,5583,151,32,1062,374,620,68,5686,409,3225,18115,1129,27751,7811,12422,1515,254,27695,2043,1686,6501,483,9343,2007-2011
B15002_6_7th_and_8th_grade,3923,6600,6873,215,2677,4521,2810,1778,2826,6116,1063,490,4072,745,460,2370,864,1754,311,5983,904,5383,19400,1497,25245,5207,14618,1569,353,20023,2493,1503,7503,984,6346,2007-2011
B15002_7_9th_grade,1912,4664,3634,404,1827,2956,1706,910,2275,2481,447,461,2704,544,581,2187,695,1773,194,4075,592,3972,12063,1415,17758,3976,7825,1861,228,15051,1378,985,5666,1035,4591,2007-2011
B15002_8_10th_grade,3820,5688,4158,573,2687,4164,2943,1670,3598,3652,1145,645,3058,918,495,3201,1343,2314,397,4951,1246,6045,14428,2014,22491,4985,9265,2499,586,18737,3080,1453,7054,1901,4145,2007-2011
B15002_9_11th_grade,3633,6980,4863,568,2485,4967,2691,1732,3736,3404,911,683,3149,863,870,2963,1545,2589,467,4166,1112,5689,16731,2405,19270,5309,9561,2932,453,15247,3263,1349,8299,2102,4928,2007-2011
"B15002_10_12th_grade,_no_diploma",4991,5273,5424,408,2011,4553,3014,2114,4623,3013,1132,581,2927,554,323,1912,1187,1674,294,4909,1108,5339,15387,1520,24288,8376,9318,2652,589,22766,3700,2162,8622,1172,5364,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",70007,70295,54803,9327,29621,70342,50892,35500,65160,52999,22768,16804,50812,12543,10403,37115,20452,33331,7305,66807,20933,83895,113568,29095,210669,100097,70677,34741,9321,202870,47847,22021,141288,18619,66033,2007-2011
"B15002_12_some_college,_less_than_1_year",12580,9958,6402,1831,5287,12141,11455,6706,12527,6693,3783,3476,6733,1803,1243,5524,2916,5727,1489,11490,3921,15656,13175,5770,25618,19633,12242,6772,1798,27957,7955,4155,25535,3507,10177,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",34346,27945,25345,5294,12929,27242,25315,16941,27049,18157,10286,6863,21484,3974,2420,12933,7029,11365,2915,30052,8468,32220,50963,12032,82139,54166,47461,16570,5205,86262,21108,11521,64786,9126,32458,2007-2011
B15002_14_associate's_degree,13014,11188,7818,2274,6222,14409,12426,8075,10686,7311,5273,3226,8006,2249,2127,8317,3939,7015,1364,13334,4673,16292,21267,8446,40284,29665,17175,8331,2012,47863,9758,5791,38444,5689,15656,2007-2011
B15002_15_bachelor's_degree,84790,43968,49678,11846,22895,61329,52353,47748,31475,27104,30003,10374,31816,7093,2173,18523,8691,17045,2882,73412,13150,50309,38529,17568,135796,104868,162852,18753,7347,143796,27173,21561,91600,9793,67415,2007-2011
B15002_16_master's_degree,34132,18268,20334,6074,13766,30531,21279,24234,11893,8987,16198,3671,14249,2495,909,8405,2872,6386,1105,41676,5087,23431,14269,9424,52972,42618,89694,8908,3439,49746,10137,10249,42887,4939,37359,2007-2011
B15002_17_professional_school_degree,14558,9007,5317,1725,3763,6293,7293,6952,2961,3132,4737,1128,4811,515,177,3046,839,1967,242,13022,1983,8865,4626,2223,18930,25786,48712,2300,942,17042,3852,4005,15088,1454,21145,2007-2011
B15002_18_doctorate_degree,5736,3569,2766,1573,4939,6673,3713,4452,1508,1262,4369,656,3225,514,89,2022,518,1379,236,5258,716,7561,2717,1750,7390,6789,20297,1373,625,7202,1385,1911,7356,925,7719,2007-2011
B15002_19_female,334474,275060,223689,45803,126641,280017,225358,176559,212577,170296,115561,52193,188625,39082,24159,123394,57263,105853,20290,322904,70327,308432,471140,100572,891701,482324,625669,120726,35065,813665,165871,102284,519949,64496,341631,2007-2011
B15002_20_no_schooling_completed,2872,4068,4191,172,1533,3297,1279,905,1365,2633,982,274,2542,220,110,1260,242,978,112,3237,366,2814,14470,1038,21650,5188,12526,1418,150,20306,2431,1305,5468,617,3543,2007-2011
B15002_21_nursery_to_4th_grade,2243,4102,4215,112,921,2495,940,700,678,2831,604,69,2649,80,62,815,238,268,31,2924,214,1996,14139,600,14293,4206,10291,819,130,13200,992,981,3738,209,3391,2007-2011
B15002_22_5th_and_6th_grade,4540,5803,7536,108,1881,4228,1896,1503,1611,5036,1001,102,4462,280,48,1469,325,815,98,4763,269,3067,21719,607,31174,7617,16668,1150,237,30745,2438,1923,5701,344,8094,2007-2011
